1,Ang,cn
2,Au-Yong,cn
3,Bai,cn
4,Ban,cn
5,Bao,cn
6,Bei,cn
7,Bian,cn
8,Bui,cn
9,Cai,cn
10,Cao,cn
11,Cen,cn
12,Chai,cn
13,Chaim,cn
14,Chan,cn
15,Chang,cn
16,Chao,cn
17,Che,cn
18,Chen,cn
19,Cheng,cn
20,Cheung,cn
21,Chew,cn
22,Chieu,cn
23,Chin,cn
24,Chong,cn
25,Chou,cn
26,Chu,cn
27,Cui,cn
28,Dai,cn
29,Deng,cn
30,Ding,cn
31,Dong,cn
32,Dou,cn
33,Duan,cn
34,Eng,cn
35,Fan,cn
36,Fei,cn
37,Feng,cn
38,Foong,cn
39,Fung,cn
40,Gan,cn
41,Gauk,cn
42,Geng,cn
43,Gim,cn
44,Gok,cn
45,Gong,cn
46,Guan,cn
47,Guang,cn
48,Guo,cn
49,Gwock,cn
50,Han,cn
51,Hang,cn
52,Hao,cn
53,Hew,cn
54,Hiu,cn
55,Hong,cn
56,Hor,cn
57,Hsiao,cn
58,Hua,cn
59,Huan,cn
60,Huang,cn
61,Hui,cn
62,Huie,cn
63,Huo,cn
64,Jia,cn
65,Jiang,cn
66,Jin,cn
67,Jing,cn
68,Joe,cn
69,Kang,cn
70,Kau,cn
71,Khoo,cn
72,Khu,cn
73,Kong,cn
74,Koo,cn
75,Kwan,cn
76,Kwei,cn
77,Kwong,cn
78,Lai,cn
79,Lam,cn
80,Lang,cn
81,Lau,cn
82,Law,cn
83,Lew,cn
84,Lian,cn
85,Liao,cn
86,Lim,cn
87,Lin,cn
88,Ling,cn
89,Liu,cn
90,Loh,cn
91,Long,cn
92,Loong,cn
93,Luo,cn
94,Mah,cn
95,Mai,cn
96,Mak,cn
97,Mao,cn
98,Mar,cn
99,Mei,cn
100,Meng,cn
101,Miao,cn
102,Min,cn
103,Ming,cn
104,Moy,cn
105,Mui,cn
106,Nie,cn
107,Niu,cn
108,Ou-Yang,cn
109,Ow-Yang,cn
110,Pan,cn
111,Pang,cn
112,Pei,cn
113,Peng,cn
114,Ping,cn
115,Qian,cn
116,Qin,cn
117,Qiu,cn
118,Quan,cn
119,Que,cn
120,Ran,cn
121,Rao,cn
122,Rong,cn
123,Ruan,cn
124,Sam,cn
125,Seah,cn
126,See ,cn
127,Seow,cn
128,Seto,cn
129,Sha,cn
130,Shan,cn
131,Shang,cn
132,Shao,cn
133,Shaw,cn
134,She,cn
135,Shen,cn
